PLC_LOG=/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_cleanupfix_20260317_234920_session05.log
CAN_LOG=/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_cleanupfix_20260317_234920_session05_can.log
SUMMARY_FILE=/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_cleanupfix_20260317_234920_session05_summary.json
[PHASE] bootstrap
[BOOT] mode=external_controller plc_id=1 connector_id=1 can_stack=0 module_mgr=0
[MODULE] addr=1 grp=1 rated=30.0A status=0x00400000 flags=OFF
[PHASE] wait_for_session
[CTRL] remote start -> B1 to B2
[PROGRESS] phase=wait_for_session stage=none relay1=0 targetV=500.0 targetI=0.0 presentV=5.8 presentI=0.0 ready=0 cp=B1 slac=0 hlc=0
[PROGRESS] phase=wait_for_session stage=none relay1=0 targetV=500.0 targetI=0.0 presentV=5.5 presentI=0.0 ready=0 cp=B2 slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PASS] sustained CurrentDemand reached with module 1 only
[PHASE] stopping
